trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.2, 'e': 0.5399999999999996}",25,0,-126.00155071990353,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
93,False,"{'a': 0.2, 'e': 0.5349999999999996}",30,0,-52.69298355130389,"{0: 24, 1: 1, 2: 2, 3: 3, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.5299999999999996}",25,15,-27.209851166005276,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.5249999999999996}",25,0,-39.37079806079185,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.2, 'e': 0.5199999999999996}",30,0,-90.27875407521087,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
97,False,"{'a': 0.2, 'e': 0.5149999999999996}",20,2,-66.85769782861445,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.2, 'e': 0.5099999999999996}",25,0,-67.86918209421475,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
99,False,"{'a': 0.2, 'e': 0.5049999999999996}",20,0,-92.82457812401874,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
100,False,"{'a': 0.2, 'e': 0.49999999999999956}",30,16,-17.48535152162887,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.2, 'e': 0.49499999999999955}",25,11,-128.1213226689516,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 2}",1
102,False,"{'a': 0.2, 'e': 0.48999999999999955}",25,10,-53.9780101311349,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
103,False,"{'a': 0.2, 'e': 0.48499999999999954}",20,1,-12.329151268369031,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.2, 'e': 0.47999999999999954}",30,0,-78.9865089727182,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
105,False,"{'a': 0.2, 'e': 0.47499999999999953}",20,2,-13.360441196707187,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.46999999999999953}",25,2,-57.29781271408337,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
107,False,"{'a': 0.2, 'e': 0.4649999999999995}",25,19,1.882366620465528,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.4599999999999995}",20,8,-4.156322120656334,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.4549999999999995}",20,0,-60.58015782734017,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
110,False,"{'a': 0.2, 'e': 0.4499999999999995}",20,9,4.163945747566252,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.4449999999999995}",25,6,-9.899679449621829,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.4399999999999995}",20,0,-10.207624251061976,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.2, 'e': 0.4349999999999995}",25,13,-5.457375457513189,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.4299999999999995}",25,0,-78.96378162911373,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
115,False,"{'a': 0.2, 'e': 0.4249999999999995}",20,13,15.048359992607047,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
